name,id,lat,lon,capacity
"Knightsbridge, Hyde Park",222,51.50275704,-0.155349725,0
"Rodney Road , Walworth",223,51.49148474,-0.090220911,3
"Queensway, Kensington Gardens",224,51.51031,-0.18740235,0
"Notting Hill Gate Station, Notting Hill",225,51.50935342,-0.196422,1
"Charles II Street, West End",226,51.50844614,-0.131961389,0
"Great Percy Street, Clerkenwell",227,51.52891573,-0.115480888,0
"St. James's Square, St. James's",228,51.50742485,-0.134621209,0
"Whitehall Place, Strand",229,51.50654321,-0.123179697,2
"Poured Lines, Bankside",230,51.50669284,-0.103137426,0
"Queen's Gate (Central), South Kensington",231,51.49396755,-0.17873226,0
"Carey Street, Holborn",232,51.51501025,-0.112753217,0
"Pall Mall East, West End",233,51.50777049,-0.130699733,0
"Liverpool Road (N1 Centre), Angel",234,51.53450449,-0.106992706,1
"Kennington Road  , Vauxhall",235,51.49571828,-0.110889274,0
"Fashion Street, Whitechapel",236,51.51838043,-0.073438925,0
"Dock Street, Wapping",237,51.5097860151,-0.0681619805156,0
"Frampton Street, Paddington",238,51.5233534,-0.175116099,0
"Warren Street Station, Euston",239,51.52443845,-0.138019439,0
"Colombo Street, Southwark",240,51.50545935,-0.10569204,0
"Beaumont Street, Marylebone",242,51.52200801,-0.151359288,0
"Gloucester Street, Pimlico",243,51.49096258,-0.139625122,1
"Earnshaw Street , Covent Garden",244,51.51611887,-0.128585022,1
"Grosvenor Road, Pimlico",245,51.4853572,-0.142207481,0
"Berry Street, Clerkenwell",246,51.52285301,-0.099994052,0
"St. John's Wood Church, The Regent's Park",247,51.530529,-0.167515,0
"Triangle Car Park, Hyde Park",248,51.50645179,-0.170279555,1
"Harper Road, The Borough",249,51.49859784,-0.096191134,0
"Royal Avenue 1, Chelsea",250,51.489932,-0.162727,0
"Brushfield Street, Liverpool Street",251,51.518908,-0.079249,0
"Shoreditch Park, Hoxton",253,51.53404294,-0.086379717,3
"Chadwell Street, Angel",254,51.53051587,-0.106408455,1
"Clifton Road, Maida Vale",255,51.52557531,-0.179592915,1
"Houghton Street, Strand",256,51.51362054,-0.116764211,0
"Westminster University, Marylebone",257,51.52248185,-0.154907218,0
"Kensington Gore, Knightsbridge",258,51.50143293,-0.178656971,0
"Bourne Street, Belgravia",259,51.490959,-0.1532331,0
"Broadwick Street, Soho",260,51.5136846,-0.135580879,0
"Princes Square, Bayswater",261,51.5134891,-0.191351186,0
"LSBU (Borough Road), Elephant & Castle",262,51.49874469,-0.103132904,0
"St. Mary Axe, Aldgate",263,51.51422502,-0.080660083,1
"Tysoe Street, Clerkenwell",264,51.52644342,-0.109256828,0
"Southwick Street, Paddington",265,51.51595344,-0.169249375,3
"Queen's Gate (North), Kensington",266,51.50102668,-0.180246101,0
"Regency Street, Westminster",267,51.49206037,-0.132224622,1
"Belgrave Road, Victoria",268,51.49320445,-0.144132875,0
"Empire Square, The Borough",269,51.50082346,-0.089740764,0
"Kennington Lane Rail Bridge, Vauxhall",270,51.4863434,-0.122492418,0
"London Zoo,  The Regent's Park",271,51.53583617,-0.156285395,0
"Baylis Road, Waterloo",272,51.50144456,-0.110699309,0
